-55	0,702
-54	0,705
-53	0,708
-52	0,712
-51	0,715
-50	0,719
-49	0,722
-48	0,725
-47	0,729
-46	0,732
-45	0,736
-44	0,739
-43	0,743
-42	0,746
-41	0,749
-40	0,753
-39	0,756
-38	0,760
-37	0,763
-36	0,767
-35	0,771
-34	0,774
-33	0,778
-32	0,781
-31	0,785
-30	0,788
-29	0,792
-28	0,796
-27	0,799
-26	0,803
-25	0,806
-24	0,810
-23	0,814
-22	0,817
-21	0,821
-20	0,825
-19	0,828
-18	0,832
-17	0,836
-16	0,839
-15	0,843
-14	0,847
-13	0,851
-12	0,854
-11	0,858
-10	0,862
-9	0,866
-8	0,869
-7	0,873
-6	0,877
-5	0,881
-4	0,885
-3	0,889
-2	0,892
-1	0,896
0	0,900
1	0,904
2	0,908
3	0,912
4	0,916
5	0,920
6	0,924
7	0,927
8	0,931
9	0,935
10	0,939
11	0,943
12	0,947
13	0,951
14	0,955
15	0,959
16	0,963
17	0,967
18	0,971
19	0,975
20	0,980
21	0,984
22	0,988
23	0,992
24	0,996
25	1,000
26	1,004
27	1,008
28	1,012
29	1,017
30	1,021
31	1,025
32	1,029
33	1,033
34	1,037
35	1,042
36	1,046
37	1,050
38	1,054
39	1,059
40	1,063
41	1,067
42	1,071
43	1,076
44	1,080
45	1,084
46	1,089
47	1,093
48	1,097
49	1,102
50	1,106
51	1,110
52	1,115
53	1,119
54	1,124
55	1,128
56	1,133
57	1,137
58	1,141
59	1,146
60	1,150
61	1,155
62	1,159
63	1,164
64	1,168
65	1,173
66	1,177
67	1,182
68	1,186
69	1,191
70	1,196
71	1,200
72	1,205
73	1,209
74	1,214
75	1,219
76	1,223
77	1,228
78	1,232
79	1,237
80	1,242
81	1,246
82	1,251
83	1,256
84	1,261
85	1,265
86	1,270
87	1,275
88	1,280
89	1,284
90	1,289
91	1,294
92	1,299
93	1,303
94	1,308
95	1,313
96	1,318
97	1,323
98	1,328
99	1,333
100	1,337
101	1,342
102	1,347
103	1,352
104	1,357
105	1,362
106	1,367
107	1,372
108	1,377
109	1,382
110	1,387
111	1,392
112	1,397
113	1,402
114	1,407
115	1,412
116	1,417
117	1,422
118	1,427
119	1,432
120	1,437
121	1,442
122	1,448
123	1,453
124	1,458
125	1,463
126	1,468
127	1,473
128	1,478
129	1,484
130	1,489
131	1,494
132	1,499
133	1,505
134	1,510
135	1,515
136	1,520
137	1,526
138	1,531
139	1,536
140	1,541
141	1,547
142	1,552
143	1,557
144	1,563
145	1,568
146	1,574
147	1,579
148	1,584
149	1,590
150	1,595
